Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
587,2978,A,65,30,0,5,
587,2978,B ,10,50,10,30,
589,2979,A,35,60,0,5,
589,2979,B ,30,45,10,15,"Large rock in plot, hard to find tags"
591,2980,A,40,40,0,10,
591,2980,B ,10,40,10,40,
593,2981,A,35,60,0,5,
593,2981,B ,10,40,10,30,
595,2982,A,65,30,0,5,
595,2982,B ,20,30,10,40,
597,2983,A,75,20,0,5,
597,2983,B ,30,35,5,30,
599,2985,A,80,15,0,5,
599,2985,B,50,35,5,10,
701,2988,A,80,15,0,5,
701,2988,B,15,35,5,45,
703,2989,A,20,75,0,5,
703,2989,B,5,50,5,40,
705,2990,A,75,20,0,5,
705,2990,B ,5,35,10,50,Hard to tell where tags are
707,2991,A,55,50,0,5,
707,2991,B ,5,30,10,55,
709,2992,A,70,25,0,5,
709,2992,B ,10,35,15,40,
711,2993,A,80,15,0,5,
711,2993,B ,10,35,10,45,
713,2994,A,60,35,0,5,
713,2994,B ,5,30,5,60,
715,2995,A,75,20,0,5,
715,2995,B ,5,30,5,60,
717,2977,A,80,18,0,2,
717,2977,B ,15,25,10,50,
719,2998,A,73,25,0,2,
719,2998,B ,80,15,3,2,
721,2999,A,60,35,0,3,
721,2999,B ,15,45,10,30,
723,3001,A,65,30,0,5,
723,3001,B ,25,40,5,30,
725,3002,A,65,30,0,5,
725,3002,B ,5,35,10,50,
729,3003,A,75,20,0,5,
729,3003,B ,20,30,5,45,
731,3004,A,75,20,0,5,
731,3004,B ,30,40,15,15,
733,3005,A,77,20,0,3,
733,3005,B ,55,30,5,10,
735,3006,A,88,10,0,2,
735,3006,B ,10,50,10,40,
737,3008,A,75,23,0,2,
737,3008,B ,10,40,10,40,
739,3009,A,70,25,0,5,
739,3009,B ,30,50,5,25,
741,3010,A,89,9,0,2,
741,3010,B ,15,40,10,35,
743,3011,A,78,20,0,2,
743,3011,B ,10,50,10,30,
745,3012,A,72,25,0,3,
745,3012,B ,10,30,10,50,
747,3013,A,85,10,0,5,
747,3013,B ,25,30,10,35,
749,3014,A,91,7,0,2,
749,3014,B,30,35,15,20,
651,3015,A,87,20,0,3,
651,3015,B,15,55,10,20,
653,3016,A,82,15,0,3,
653,3016,B,5,45,10,40,
655,3017,A,70,25,0,5,
655,3017,B ,10,40,20,30,
657,3018,A,75,20,0,5,
657,3018,B ,10,40,10,40,
659,3019,A,65,30,0,5,
659,3019,B ,15,45,20,20,Difficult to find tags
661,3020,A,90,7,0,3,
661,3020,B ,15,40,15,30,
663,3021,A,78,20,0,3,
663,3021,B ,10,50,20,20,
665,3022,A,77,20,0,3,
665,3022,B ,20,40,10,30,
667,3023,A,60,35,0,5,
667,3023,B ,30,50,10,10,
669,3024,A,68,30,0,2,
669,3024,B ,7,60,13,20,
671,3025,A,65,30,0,5,
671,3025,B ,10,50,10,30,
673,3026,A,78,30,0,2,
673,3026,B ,10,60,10,20,
675,3027,A,80,15,0,5,
675,3027,B ,15,30,20,35,
677,3029,A,77,30,0,3,
677,3029,B ,15,40,15,30,
679,3030,A,65,30,0,5,
679,3030,B ,5,70,10,15,
681,3031,A,65,30,0,5,
681,3031,B ,10,50,20,20,
683,3032,A,83,15,0,2,
683,3032,B ,15,60,10,15,
685,3033,A,65,30,0,5,
685,3033,B ,10,40,10,40,
687,3034,A,67,30,0,3,
687,3034,B ,40,30,10,20,
689,3035,A,70,25,0,5,
689,3035,B ,15,40,15,30,
