Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
683,3352,B ,15,35,10,40,
685,3353,A,85,10,0,5,
685,3353,B ,15,45,10,30,
687,3354,A,70,25,0,5,
687,3354,B ,35,30,5,30,
689,3355,A,80,15,0,5,
689,3355,B ,10,50,10,30,
691,3356,A,85,10,0,5,
691,3356,B ,15,75,5,5,
693,3357,A,55,40,0,5,
693,3357,B ,30,35,5,30,
695,3358,A,92,5,0,3,
695,3358,B ,20,30,10,40,
697,3359,A,90,7,0,3,
697,3359,B ,10,30,10,50,
699,3360,A,50,45,0,5,
699,3360,B ,15,45,10,30,
701,7619,A,62,35,0,3,
701,7619,B ,20,25,5,50,
703,7620,A,45,52,0,3,
703,7620,B ,25,32,10,33,
705,7622,A,55,40,0,5,
705,7622,B,25,15,10,50,
707,7623,A,50,42,0,3,
707,7623,B,45,20,10,25,
709,7624,A,75,20,0,5,
709,7624,B,10,50,10,50,
711,7625,A,55,40,0,5,
711,7625,B ,10,40,10,40,
713,7626,A,42,55,0,3,
713,7626,B ,15,30,10,45,
715,7627,A,73,20,0,2,
715,7627,B ,30,20,10,40,
717,7628,A,25,70,0,5,
717,7628,B ,20,30,10,40,
719,7629,A,27,70,0,3,
719,7629,B ,15,45,10,30,
721,7630,A,57,40,0,3,
721,7630,B ,15,30,10,45,
723,7631,A,50,47,0,3,
723,7631,B ,30,30,10,30,
725,7632,A,57,40,0,3,
725,7632,B ,20,30,10,40,
727,7633,A,67,30,0,3,
727,7633,B ,30,30,5,35,
729,7634,A,65,32,0,3,
729,7634,B ,15,10,15,60,
731,7635,A,42,55,0,3,
731,7635,B ,20,40,10,30,
733,7636,A,57,40,0,3,
733,7636,B ,20,30,10,40,
735,7637,A,80,15,0,5,
735,7637,B ,20,30,10,40,
737,7638,A,82,15,0,3,
737,7638,B ,15,35,10,40,
739,7639,A,52,45,0,3,
739,7639,B ,20,40,10,30,
741,7640,A,45,52,0,3,
741,7640,B ,15,40,10,35,
743,7641,A,40,57,0,3,
743,7641,B ,25,45,10,30,
745,7642,A,35,62,0,3,
745,7642,B ,25,40,10,25,
747,7643,A,63,35,0,3,
747,7643,B ,35,30,10,25,
749,7645,A,40,57,0,3,
749,7645,B ,30,30,10,30,
