image,plot,grid,site,treatment,miccal,brohor,vulmic,plaere,notes
2946,587,5,TAIL,A,0,0,1,2,
2947,589,5,TAIL,B,0,0,1,2,
2947,589,5,TAIL,A,1,0,0,1,
2948,591,5,TAIL,B,1,0,1,2,
2948,591,5,TAIL,A,1,0,0,1,
2949,593,5,TAIL,B,1,0,1,2,
2949,593,5,TAIL,A,0,0,1,2,
2950,595,5,TAIL,B,1,0,0,2,
2950,595,5,TAIL,A,1,0,0,1,
2951,597,5,TAIL,B,0,0,0,1,
2951,597,5,TAIL,A,1,0,1,1,
2952,599,5,TAIL,B,1,1,0,1,
2952,599,5,TAIL,A,0,1,1,1,
2953,551,6,WHIT,B,0,0,2,0,
2953,551,6,WHIT,A,0,0,0,1,
2955,553,6,WHIT,B,0,0,1,0,
2955,553,6,WHIT,A,0,0,1,0,
2957,555,6,WHIT,B,0,0,1,0,
2957,555,6,WHIT,A,0,0,1,0,
2958,557,6,WHIT,B,0,0,1,0,
2958,557,6,WHIT,A,0,1,0,0,
2959,559,6,WHIT,B,0,1,1,0,
2959,559,6,WHIT,A,1,1,0,0,
2960,561,6,WHIT,B,1,1,0,0,
2960,561,6,WHIT,A,0,1,1,0,
2962,563,6,WHIT,B,0,0,0,0,
2962,563,6,WHIT,A,0,1,0,0,
2963,565,6,WHIT,B,0,0,0,0,
2963,565,6,WHIT,A,0,0,0,0,
2964,567,6,WHIT,B,0,0,0,0,
2964,567,6,WHIT,A,0,0,1,0,
2965,569,6,WHIT,B,0,1,1,0,
2965,569,6,WHIT,A,0,1,1,0,
2967,571,6,WHIT,B,0,1,1,0,
2967,571,6,WHIT,A,0,1,1,0,
2968,573,6,WHIT,B,0,0,0,0,
2968,573,6,WHIT,A,0,0,1,0,
2969,575,6,WHIT,B,0,0,0,0,
2969,575,6,WHIT,A,0,0,0,0,
2970,577,6,WHIT,B,0,0,0,0,
2970,577,6,WHIT,A,0,0,1,0,
2972,579,6,WHIT,B,0,1,1,0,
2972,579,6,WHIT,A,0,0,0,0,
2974,581,6,WHIT,B,0,0,0,0,
2974,581,6,WHIT,A,0,1,1,0,
2975,583,6,WHIT,B,1,0,1,0,
2975,583,6,WHIT,A,0,1,0,0,
2977,585,6,WHIT,B,0,0,1,0,
2977,585,6,WHIT,A,0,0,0,0,
2978,587,6,WHIT,B,0,0,1,0,
2978,587,6,WHIT,A,0,0,0,0,
2979,589,6,WHIT,B,0,1,0,0,
2979,589,6,WHIT,A,0,1,1,0,
2980,591,6,WHIT,B,0,1,0,0,
2980,591,6,WHIT,A,0,1,0,0,
2981,593,6,WHIT,B,0,0,1,0,
2981,593,6,WHIT,A,1,0,0,0,
2982,595,6,WHIT,B,0,0,1,0,
2982,595,6,WHIT,A,0,0,0,1,
2983,597,6,WHIT,B,1,1,1,0,
2983,597,6,WHIT,A,0,0,0,0,
2985,599,6,WHIT,B,0,0,0,0,
2985,599,6,WHIT,A,0,0,1,1,
2988,701,8,WHIT,B,0,0,1,0,
2988,701,8,WHIT,A,0,0,0,0,
2989,703,8,WHIT,B,0,0,1,0,
2989,703,8,WHIT,A,0,0,0,0,
2990,705,8,WHIT,B,0,1,1,0,
2990,705,8,WHIT,A,0,1,1,0,
2991,707,8,WHIT,B,0,1,1,0,
2991,707,8,WHIT,A,0,1,0,0,
2992,709,8,WHIT,B,0,1,2,0,
2992,709,8,WHIT,A,1,2,1,0,
2993,711,8,WHIT,B,1,1,1,0,
2993,711,8,WHIT,A,0,1,1,1,
2994,713,8,WHIT,B,1,0,1,0,
2994,713,8,WHIT,A,0,0,0,0,
2995,715,8,WHIT,B,1,0,1,0,
2995,715,8,WHIT,A,0,0,1,1,
2997,717,8,WHIT,B,1,0,0,1,
2997,717,8,WHIT,A,0,0,0,0,
2998,719,8,WHIT,B,0,0,0,0,
2998,719,8,WHIT,A,1,0,0,0,
2999,721,8,WHIT,B,0,0,0,0,
2999,721,8,WHIT,A,0,0,0,0,
3001,723,8,WHIT,B,0,0,0,0,
3001,723,8,WHIT,A,0,0,0,0,
3002,725,8,WHIT,B,0,0,0,0,
3002,725,8,WHIT,A,0,0,0,1,
3003,729,8,WHIT,B,1,0,0,0,
3003,729,8,WHIT,A,1,0,0,0,
3004,731,8,WHIT,B,0,1,0,0,
3004,731,8,WHIT,A,0,0,0,1,
3005,733,8,WHIT,B,0,0,0,0,
3005,733,8,WHIT,A,0,0,1,1,
3006,735,8,WHIT,B,0,0,0,0,
3006,735,8,WHIT,A,0,0,0,0,
3008,737,8,WHIT,B,1,0,0,0,
3008,737,8,WHIT,A,0,0,0,0,
3009,739,8,WHIT,B,1,0,0,0,
3009,739,8,WHIT,A,0,0,0,0,
3010,741,8,WHIT,B,2,0,0,0,
3010,741,8,WHIT,A,0,0,0,0,
3011,743,8,WHIT,B,0,0,0,0,
3011,743,8,WHIT,A,0,0,0,0,
3012,745,8,WHIT,B,0,0,0,0,
3012,745,8,WHIT,A,0,0,0,0,
3013,747,8,WHIT,B,0,0,1,0,
3013,747,8,WHIT,A,0,0,1,0,
3014,749,8,WHIT,B,0,0,1,0,
3014,749,8,WHIT,A,1,0,0,0,
3015,651,9,WHIT,B,1,0,1,0,
3015,651,9,WHIT,A,0,0,0,0,
3016,653,9,WHIT,B,0,2,0,0,
3016,653,9,WHIT,A,0,0,0,0,
3017,655,9,WHIT,B,0,0,1,0,
3017,655,9,WHIT,A,1,0,0,0,
